,8-part,32-part,128-part,512-part
wb-edu,106.82503019146665,83.82140231901927,83.4314974637594,83.62882744741003
amazon-2008,39.950640135739626,46.71507304697752,56.48556045031816,54.2192046556741
vas_stokes_4M,180.78142291748728,127.830394594492,129.65664818597412,133.2296627466226
road_usa,249.50836219348776,229.92985190958692,234.95775058275058,237.48703673380274
nlpkkt120,115.91890628008692,109.15522614335046,112.63886098114072,109.67593788570281
Bump_2911,193.31987660433407,188.86988963158714,197.2861842105263,190.8705145635068
cage15,150.6976516873152,157.14859236212175,163.11105378563136,164.6234676007005
hugebubbles-00000,300.0912908526565,309.374764311034,322.4632007516442,326.9637403085598
kron_g500-logn21,47.45117520664125,37.1681274198521,37.52082232966319,36.49389613076764
