,8-part,32-part,128-part,512-part
wb-edu,4.752565112385046,3.687919585617635,3.620629397987554,3.641494572446494
amazon-2008,22.023809523809526,22.70408163265306,24.532312925170068,23.767006802721088
vas_stokes_4M,21.45687697582261,14.993989046707334,14.838149516897458,15.258916247384121
road_usa,36.20728843094174,32.780261130893756,32.58327651084678,32.96461853170695
nlpkkt120,31.825390831508194,29.36334113737633,29.635223925685374,28.857337059134508
Bump_2911,44.21602787456446,42.33449477351917,41.79442508710802,40.35714285714286
cage15,25.465582029153076,25.86199777016146,26.109757608291698,26.39468142214147
hugebubbles-00000,23.304880469614044,23.265178799308057,23.358761307886454,23.67921050392763
kron_g500-logn21,15.799018207664357,12.332852844075699,12.269082841219335,12.184720441607269
