Graph Name,metis_Edgecut,mt_Edgecut,parmetis_Edgecut,ptscotch_Edgecut,mt_KaHip_Edgecut,Kaminpar_Edgecut,jet_Edgecut
nlpkkt120,0.90459396637298,0.8588197454441574,0.8493052429953984,0.8087378461196983,0.903436894361175,0.8932503447581349,0.7991863502496028
nlpkkt160,0.8943173939202934,0.8760370168753402,0.8582144801306478,0.8060338652837865,0.9229453055611265,0.9005260292811507,0.7917720539781681
nlpkkt200,0.8408645253974386,0.8292554284995834,0.8238305186725116,0.7703231866389619,0.8789253985592644,0.8805402635826749,0.7574991761071421
Geomean,0.8794756068052005,0.8544846535475245,0.8436568551819581,0.7948368778505162,0.9015889922636644,0.8914005425266202,0.7826065238025104
