Graph Name,Coarsen Edges,Partition Time,Coarsen Time,Init Time,Uncoarsen Time,Edgecut,Coarsen nvtxs
wb-edu,,167.13,85.77,1.86,79.5,383583,
amazon-2008,,46.77,13.08,1.84,31.84,202924,
vas_stokes_4M,,94.31,53.75,1.86,38.7,1244312,
road_usa,,159.89,57.85,1.98,100.06,7341,
nlpkkt120,,77.71,36.93,2.08,38.71,1264119,
Bump_2911,,62.2,26.93,1.89,33.38,1311415,
cage15,,98.56,41.69,1.69,55.18,2104186,
hugebubbles-00000,,97.77,28.01,1.95,67.81,11053,
kron_g500-logn21,,1285.66,501.86,1.28,782.51,16297717,
