Graph Name,Coarsen Edges,Partition Time,Coarsen Time,Init Time,Uncoarsen Time,Edgecut,Coarsen nvtxs
wb-edu,,328.52,85.5,106.72,136.3,899187,
amazon-2008,,152.61,10.34,98.55,43.72,665817,
vas_stokes_4M,,230.99,54.65,63.57,112.78,14166981,
road_usa,,296.85,55.05,62.94,178.86,41740,
nlpkkt120,,242.67,35.28,121.92,85.47,7660523,
Bump_2911,,151.71,24.45,64.55,62.7,8470518,
cage15,,236.8,38.8,85.5,112.5,9668692,
hugebubbles-00000,,216.15,25.66,59.66,130.83,160545,
kron_g500-logn21,,1420.92,527.27,120.07,773.57,86176063,
