Graph Name,Coarsen Edges,Partition Time,Coarsen Time,Init Time,Uncoarsen Time,Edgecut,Coarsen nvtxs
wb-edu,,175.34,85.81,13.78,75.75,467302,
amazon-2008,,50.35,12.32,11.9,26.13,325465,
vas_stokes_4M,,111.19,52.83,8.38,49.97,2750489,
road_usa,,174.4,56.75,9.66,107.98,11172,
nlpkkt120,,98.48,35.76,16.0,46.72,2783977,
Bump_2911,,70.0,25.81,7.59,36.61,2551101,
cage15,,113.96,39.95,11.14,62.88,3557631,
hugebubbles-00000,,111.12,27.05,7.56,76.5,28592,
kron_g500-logn21,,1139.27,565.67,11.39,562.21,46361435,
