Graph Name,8-part,32-part,128-part,512-part
Bump_2911,1065497.076,764540.8163,454530.8741,268771.7082
amazon-2008,1633333.333,3233030.853,3592580.692,2524894.254
cage15,1733333.333,2638286.713,2597227.16,1737502.984
hugebubbles-00000,1111229.947,739715.3946,307864.4888,176902.2658
kron_g500-logn21,1447058.824,4085416.667,7317462.051,5526428.632
nlpkkt120,2156149.733,3475098.814,3977520.227,2486520.784
road_usa,1501111.111,1467030.568,676024.9796,397014.9254
vas_stokes_4M,1200000.0,1313093.859,805833.9963,475457.6482
wb-edu,1428387.097,2700635.145,4509027.518,3377308.852
