Graph Name,metis_time (ms),mt_time (ms),parmetis_time (ms),ptscotch_time (ms),mt_KaHip_time (ms),Kaminpar_time (ms),jet_time (ms),Hunyuan_time (ms)
dblp-2010,2177088.948787062,2864184.3971631206,6461600.0,316500.5858219337,1010136.3815431575,830967.0781893004,8569761.27320955,26831212.83592997
amazon-2008,2176326.1272390364,5420726.153846154,13763562.5,565563.5134397642,3772829.628646107,5628549.520766773,45552320.620555915,81622312.82431431
soc-Pokec,663255.4349442379,3074860.609403006,2051887.3861440795,180146.88028428066,15911335.292942552,14828433.510638298,120232702.5715672,125497805.38861503
com-LiveJournal,786421.5192743764,3740825.0458418727,1303657.0687516446,233932.77563728983,9757557.486867983,17721609.09555442,103009353.09492694,143496888.5247801
soc-LiveJournal1,771135.6511724163,3625929.6835335926,1235333.1699723247,101534.265225909,7791289.82579653,18257876.864081807,109756767.07135904,152565001.139309
hollywood-2009,2241668.0981351146,4857462.605548854,3860028.141047586,774864.2166376195,19733038.026966102,30672312.840043526,226727170.72189826,271040981.36030805
com-Orkut,1057455.314118645,4455876.002889844,1648404.5998030666,143982.3599157129,1722833.7312625332,16170150.821029391,184992080.0050516,188097442.70483884
ljournal-2008,747656.0716334974,3251101.1818778724,2104840.6308450946,48596.9930370275,8812014.87822458,25535982.980917998,126311915.81632653,164832189.2726837
