Graph Name,metis_time (ms),mt_time (ms),parmetis_time (ms),ptscotch_time (ms),mt_KaHip_time (ms),Kaminpar_time (ms),jet_time (ms),Hunyuan_time (ms)
nlpkkt120,7206008.032128514,43804409.38967136,70684387.87878788,6855573.238813625,31916053.909831017,43036619.926199265,384122651.29682994,627426849.9340991
nlpkkt160,6061513.703135277,46096813.67236348,71809257.14285715,10352754.118680151,52033245.1889145,52187945.25719679,517653213.49997663,801338067.5642382
nlpkkt200,7003885.210285678,50536456.71502106,69765121.44702843,10697744.780961344,55679014.24244377,60502189.3557423,593941637.7935433,931091810.4302994
