Graph Name,metis_time (ms),mt_time (ms),parmetis_time (ms),ptscotch_time (ms),mt_KaHip_time (ms),Kaminpar_time (ms),jet_time (ms),Hunyuan_time (ms)
cage15,2399466.5510027045,14353585.47008547,39883245.12298558,1556076.0380878758,19915693.30854231,32273401.509951957,305717092.51674145,510951395.75568575
kmer_A2a,221581.94383164486,2911937.107324558,7828936.8187936945,1284922.2885813247,3742606.5638428167,8285124.121134139,124266011.88260756,155326225.19351962
kmer_P1a,329740.2687699424,3259460.9407490096,7462540.315710348,812196.4019340219,3469222.59030952,8209205.733186329,112734960.9744658,154109403.55626756
kmer_U1a,535051.9404412161,5287205.196586407,10235916.949402567,3340761.223851135,5373806.853823815,7525136.2108231215,143868634.2808567,169370622.5942117
kmer_V2a,647482.2687200336,5428248.587570622,10343946.346629016,3235404.3620613604,4622837.806926905,7193028.964162985,145064105.73733974,149739910.68052447
