Graph Name,metis_time (ms),mt_time (ms),parmetis_time (ms),ptscotch_time (ms),mt_KaHip_time (ms),Kaminpar_time (ms),jet_time (ms),Hunyuan_time (ms)
delaunay_n23,4066211.665858782,22529797.672336616,36366739.884393066,13328417.005185023,9982144.160439176,22590470.377019748,198781864.13902053,328968796.9777383
hugebubbles-00000,1879967.2187243362,12000909.130624726,22758973.487986743,9768668.164975142,3873963.4322622498,11630008.890770534,184177546.0945357,287952378.4565714
hugebubbles-00010,1957979.1988190296,9620759.643916914,19809751.527494907,8588826.194071367,6574284.381780222,10599260.443152925,193474101.57804006,262219302.65995687
hugebubbles-00020,1665017.4933221599,9601382.965871338,21039165.45334216,8882320.119361617,6900752.370967076,10718199.258260284,200391950.3277862,241768796.10616776
rgg_n_2_22_s0,7877321.743642968,38380781.28950696,266308754.3859649,40583907.70793787,7341101.339375312,35097338.7283237,302593421.7083624,465011380.5198584
delaunay_n24,4058345.508788905,24024630.548926014,33984875.75962187,14366296.365011632,10905545.552442675,26644574.377977766,274585930.1691216,392048675.42704916
rgg_n_2_23_s0,7683169.147005444,37820960.690887436,273712900.86206895,51801505.06583134,22979193.610838704,47853348.15373022,432659215.09845334,638358930.7973783
rgg_n_2_24_s0,5695016.32582918,39699670.56004792,269973930.7535642,68768001.66009545,23422938.213097405,57809507.19581334,552920664.0527238,743121107.3052322
