,8-part,32-part,128-part,512-part
wb-edu,35.69374791039786,37.26173511858572,31.7413900814802,19.51551996991586
amazon-2008,25.33225640649093,27.2823090643749,22.283791806847418,32.52269307315179
vas_stokes_4M,45.05169867060562,24.610647953777566,28.63204316522727,12.104317206470308
road_usa,22.216424919127622,19.133747828089348,18.051828638982194,11.122650869446652
nlpkkt120,26.119713043237404,15.31117715932631,15.105043879088733,9.17616334283001
Bump_2911,21.850019033117626,13.946877498445412,17.3223247531164,10.50884089520916
cage15,139.44909987570668,88.66131720476297,76.97241821680565,35.570735927614855
hugebubbles-00000,23.516169267743603,20.4717737664735,16.677734075701075,11.667821254271324
kron_g500-logn21,156.59559069451223,105.8868247256141,52.28810720268007,37.826076478425676
