Graph Name,metis_Edgecut,mt_Edgecut,parmetis_Edgecut,ptscotch_Edgecut,mt_KaHip_Edgecut,Kaminpar_Edgecut,jet_Edgecut
circuit5M,1.346639224872138,1.0181789034593849,1.025449307968771,1.0380316939505387,1.019558613866186,0.9865433475316708,0.9654810724335569
vas_stokes_2M,1.1394271625662278,1.1348305618213292,1.1899058385353827,1.0923661018727377,1.1405668048051198,1.2291716938572104,1.0408618790326811
vas_stokes_4M,1.239319136778088,1.11287100424264,1.2664473162070662,1.2095310873720801,1.2895051916217497,1.2326365819423626,1.1117587568225777
stokes,1.307185992729586,1.3005881831571047,1.286271137537551,1.3288331695824385,1.215350970656217,1.1752191150411326,1.0412809405901695
Geomean,1.255638410611355,1.1371949883267773,1.1873714743099613,1.1618941925037447,1.1618884465810846,1.1512526834770564,1.038553410686264
