metis_time (ms),mt_time (ms),parmetis_time (ms),ptscotch_time (ms),mt_KaHip_time (ms),Kaminpar_time (ms),jet_time (ms),Hunyuan_time (ms)
2177088.948787062,2864184.3971631206,6461600.0,295668.02597573743,1010136.3815431575,830967.0781893004,5230201.385741112,33445134.57556936
2176326.1272390364,5420726.153846154,13763562.5,484020.66599904664,3772829.628646107,5628549.520766773,19536856.113113392,13687638.878098048
663255.4349442379,3074860.609403006,2051887.3861440795,171392.72375155624,15911335.292942552,14828433.510638298,119434284.79622985,72621178.76913057
786421.5192743764,3740825.0458418727,1303657.0687516446,172649.7391425556,9757557.486867983,17721609.09555442,164717117.07432914,101740169.56113589
771135.6511724163,3625929.6835335926,1235333.1699723247,83503.81845994953,7791289.82579653,18257876.864081807,348129311.88561213,304752414.4797667
2241668.0981351146,4857462.605548854,3860028.141047586,387947.198557646,19733038.026966102,30672312.840043526,259496943.61334866,147175854.32711133
1057455.314118645,4455876.002889844,1648404.5998030666,inf,1722833.7312625332,16170150.821029391,650341767.0236973,543605710.4420838
747656.0716334974,3251101.1818778724,2104840.6308450946,inf,8812014.87822458,25535982.980917998,178635799.84125838,141842188.03712615
