metis_time (ms),mt_time (ms),parmetis_time (ms),ptscotch_time (ms),mt_KaHip_time (ms),Kaminpar_time (ms),jet_time (ms),Hunyuan_time (ms)
2399466.5510027045,14353585.47008547,39883245.12298558,1322795.7364330182,19915693.30854231,32273401.509951957,159668407.47028863,192517281.4738997
221581.94383164486,2911937.107324558,7828936.8187936945,inf,3742606.5638428167,8285124.121134139,117605386.71780722,64265579.96456871
327743.0964092745,3259460.9407490096,7462540.315710348,inf,3469222.59030952,8209205.733186329,112857136.79424024,53263630.93343253
inf,5287205.196586407,10235916.949402567,inf,5373806.853823815,7525136.2108231215,133103048.03191896,99330462.2299841
inf,1734872.9777685,6303647.524108787,inf,1293426.0368842892,7997025.7397161415,inf,62253333.83270377
inf,5428248.587570622,10343946.346629016,inf,4622837.806926905,7193028.964162985,126938554.50390938,64270377.559188955
