metis_time (ms),mt_time (ms),parmetis_time (ms),ptscotch_time (ms),mt_KaHip_time (ms),Kaminpar_time (ms),jet_time (ms),Hunyuan_time (ms)
7206008.032128514,43804409.38967136,70684387.87878788,4406632.47281967,31916053.909831017,43036619.926199265,282361070.08836704,109944607.84313725
6061513.703135277,46096813.67236348,71809257.14285715,5521389.605915511,52033245.1889145,52187945.25719679,415020100.5779479,158920265.57066077
7003885.210285678,50536456.71502106,69765121.44702843,5596306.729264476,55679014.24244377,60502189.3557423,486130890.5944048,142988571.12594005
