metis_time (ms),mt_time (ms),parmetis_time (ms),jet_time (ms),ptscotch_time (ms),mt_KaHip_time (ms),Kaminpar_time (ms),Hunyuan_time (ms)
1618637.2745490982,2485230.769230769,2361695.9064327483,8820574.42393797,270687.82926927356,434282.3345968761,539906.4171122995,15868369.351669941
1337181.0246679317,7726912.280701755,5196861.356932153,39625191.18308592,404959.5439499816,880368.3909381427,3963410.57367829,45908429.96742671
534498.8376273217,3973977.9044903778,1637442.2907488986,96805121.97239344,137420.44488261754,889030.9618627345,9402177.065767284,78744311.84238401
526405.7344079657,3911706.4064967292,1045558.9086523968,91223075.91141038,132284.61195174142,846733.5224664784,12974631.126075571,109421640.6373245
563520.6464848373,3670970.359,893366.9057248884,88895604.09924488,45587.24679063345,909696.1469058486,13365950.405489707,110290677.68254705
1480260.2336878036,7968298.3745583035,1235821.6274277698,203595922.7157819,343985.05705046066,1035486.4015487559,23548751.461988304,231636580.65576464
911846.8260267364,4455876.002889844,1666810.0846312495,166019810.15796557,0,1321380.9399236387,13927392.79771809,147759473.19312048
612247.2394989675,3251101.1818778724,1607032.2612054136,100265822.24652208,0,955082.9718244928,21584250.653879687,135964717.02776176
