Graph Name,metis_time (ms),mt_time (ms),parmetis_time (ms),ptscotch_time (ms),mt_KaHip_time (ms),Kaminpar_time (ms),jet_time (ms),Hunyuan_time (ms)
kron_g500-logn20,418973.3231922026,2341242.6277678665,956410.1343965018,0,889873.2581724047,18560483.361064892,25190627.064196877,74020610.58698036
kron_g500-logn21,407298.2409047798,2497830.66286216,0,0,479821.9238005892,23397823.695708044,27426263.149649944,85322290.78258784
mycielskian18,1990724.4390347162,4515407.256249437,0,289380.32261941966,103382424.55889627,2635747.473155009,183259342.80076972,239172354.81589216
mycielskian17,0,0,676769.0718587129,353581.79285046645,0,2452675.229986299,196214018.3989039,155417827.3757845
