metis_time (ms),mt_time (ms),parmetis_time (ms),ptscotch_time (ms),mt_KaHip_time (ms),Kaminpar_time (ms),jet_time (ms),Hunyuan_time (ms)
418973.3231922026,2341242.6277678665,956410.1343965018,inf,889873.2581724047,18560483.361064892,29483082.3515419,61577976.81479437
407298.2409047798,2497830.66286216,inf,inf,479821.9238005892,23397823.695708044,25373868.304728568,71274402.07307431
1990724.4390347162,4515407.256249437,inf,257829.83944207407,103382424.55889627,2635747.473155009,180728014.7977323,153702350.47755247
inf,inf,676769.0718587129,inf,inf,2452675.229986299,150600537.8282555,98363072.78685951
