metis_time (ms),mt_time (ms),parmetis_time (ms),ptscotch_time (ms),mt_KaHip_time (ms),Kaminpar_time (ms),jet_time (ms),Hunyuan_time (ms)
1430626.8035103376,12315113.95646607,20065585.535465926,4398301.914690267,5432350.886837602,12123660.50420168,165183833.2951683,98650593.1826729
1479773.878288483,12171731.591983788,31759494.712103408,5477678.232134226,6010694.889848639,11929962.48068859,230854836.64317745,12550478.525556192
