Graph Name,metis_time (ms),mt_time (ms),parmetis_time (ms),ptscotch_time (ms),mt_KaHip_time (ms),Kaminpar_time (ms),jet_time (ms),Hunyuan_time (ms)
circuit5M,751432.0802005013,546023.3108723365,38390.24306963444,519365.8114930211,7746677.996951158,7290982.437179141,9244458.071964728,34026962.88599473
vas_stokes_2M,5441955.993247045,39632605.73770492,42638253.086419754,3081220.7302766116,51651040.88774564,54882836.54937571,466625931.28739625,799930167.9212507
vas_stokes_4M,7188149.856543809,38197232.60359656,50652421.46189736,5235803.395312623,57920223.48024541,63861778.431372546,455411423.91051036,1030593631.3391274
stokes,6038747.05648276,40839213.7090391,51824289.473684214,6834684.376316368,56499392.91603976,73877810.13745704,335598544.33343786,1328198528.5789306
