metis_time (ms),mt_time (ms),parmetis_time (ms),jet_time (ms),ptscotch_time (ms),mt_KaHip_time (ms),Kaminpar_time (ms),Hunyuan_time (ms)
533036.8804693519,546023.3108723365,38160.482635829714,9420906.62160558,0,26729991.084695395,10271764.750666158,13918136.334564362
7155805.6829954125,47968034.722222224,25368194.64847849,441085376.7560664,1797684.4371242567,45957835.35629082,18625492.681047767,395936611.52964294
7975554.730226104,43639357.30236713,34283691.578947365,458553224.1411676,2449086.773327585,46061983.08536517,55327588.335220836,528154167.5675676
7648876.689990512,45628106.29642731,39338413.083257094,331608304.9474915,0,56827582.538130105,70544520.91878588,729894788.5132267
