metis_time (ms),mt_time (ms),parmetis_time (ms),ptscotch_time (ms),mt_KaHip_time (ms),Kaminpar_time (ms),jet_time (ms),Hunyuan_time (ms)
3290357.6003415883,10110672.425103871,2166437.3067191453,inf,12877236.78676964,29152651.32408575,20298401.54182508,153353582.08955225
5812199.063075864,29833305.754985753,3996813.050580931,inf,65056637.317687176,73763668.07551423,416096730.5094175,368917092.48742265
