metis_time (ms),mt_time (ms),parmetis_time (ms),ptscotch_time (ms),mt_KaHip_time (ms),Kaminpar_time (ms),jet_time (ms),Hunyuan_time (ms)
751432.0802005013,546023.3108723365,38390.24306963444,inf,7746677.996951158,7290982.437179141,9063068.164643055,12850467.65467845
5441955.993247045,39632605.73770492,42638253.086419754,2388532.4527127496,51651040.88774564,54882836.54937571,295548771.393643,270605434.295948
7188149.856543809,38197232.60359656,50652421.46189736,3582596.8078436265,57920223.48024541,63861778.431372546,381897678.3271448,390802819.77441806
6038747.05648276,40839213.7090391,51824289.473684214,inf,56499392.91603976,73877810.13745704,345467503.6156195,589267503.426222
