metis_time (ms),mt_time (ms),parmetis_time (ms),jet_time (ms),ptscotch_time (ms),mt_KaHip_time (ms),Kaminpar_time (ms),Hunyuan_time (ms)
5897066.868916699,48696968.684759915,45871874.139626354,330745806.4516129,3348360.045073819,28614703.68144068,14981276.814386642,173490873.93082932
6530041.688810157,48101894.7368421,57868265.82940868,436031290.90765715,4133895.6528890403,26933237.21242882,49258911.358574614,239488600.13860014
6831540.500363728,47088034.881185964,61765174.72118959,527983612.4080276,4567120.2080646185,25076021.881878726,58234784.578053385,292312752.56797177
