metis_time (ms),mt_time (ms),parmetis_time (ms),jet_time (ms),ptscotch_time (ms),mt_KaHip_time (ms),Kaminpar_time (ms),Hunyuan_time (ms)
4725081.487044686,20443366.368805848,9355310.03717472,184216265.28072613,4712649.507027088,3220820.4549323157,20393666.12641815,131640864.15232517
2228267.439974043,11036593.411008436,7994784.924330617,175628674.63717154,3642328.9887163714,3495775.176633478,11290621.043978628,135903037.64903775
1924025.0560464195,9313681.455473987,8592392.22614841,167564970.71321926,3502026.9435026553,3412782.0129261035,10281805.496828754,113284276.72955975
1929952.5862068965,9075129.60319726,8504595.773140717,171671773.40965545,3501032.3527047224,4108346.396655445,10477975.939353988,120590922.54001972
5059866.333333333,32749943.90507012,34149829.021372326,274992735.5072464,7856548.979216861,7048361.9554845635,32160167.372881357,262668264.4056065
8387202.299616731,22026958.86214442,16777200.333333334,245939902.272172,4158364.8801606116,10161205.537307376,86042808.05525164,165722567.58091602
10580038.820393203,35978126.34560907,31750696.5,386308510.76773334,8889755.866060216,7604429.033671913,46082288.09869376,350120709.0478028
22081825.75378977,36688956.54580681,33139300.0,522866834.9637109,9241943.805340584,11314395.943938956,55790067.34006734,429488076.72369105
