metis_time (ms),mt_time (ms),parmetis_time (ms),jet_time (ms),ptscotch_time (ms),mt_KaHip_time (ms),Kaminpar_time (ms),Hunyuan_time (ms)
283454.365268434,3698557.8580901856,3698251.305428927,37576764.750467405,0,3717323.1915088603,9455266.369993642,64255125.93424634
578353.4628432032,2163880.2082095407,2163828.777867567,21929753.24462601,0,1564484.167149262,16963095.211477548,82423549.86193472
882405.5735724465,5727490.997678048,5727272.990255785,60616659.75095376,182653.58231476007,26820240.98962604,1860625.4065216584,169572668.56750023
