metis_time (ms),mt_time (ms),parmetis_time (ms),jet_time (ms),ptscotch_time (ms),mt_KaHip_time (ms),Kaminpar_time (ms),Hunyuan_time (ms)
2161052.713819569,13547204.263900893,17338623.156342182,230106904.8201615,1008870.5376011877,18639542.24012177,24478056.220718376,275113187.45611984
8285504.87132353,2576123.596147801,8093943.254769921,118433555.58329119,0,935311.8664467063,8215656.687172476,95431782.26049766
6843205.367400395,2745736.000737531,7640584.504874295,112796442.99013035,0,1461656.1674895221,8089249.388885871,66486437.06078275
3188552.56869773,4221015.937709106,11356674.468085106,149208216.32082573,0,2516502.3555054273,7675805.420353983,116937058.25848094
10692710.196204567,2103380.985953685,6320769.556714472,0,0,1167619.7672843316,8365584.067296976,65979231.9142602
2692924.094835508,4684581.568219966,4199541.415878476,144420679.11882114,0,3620419.5596847124,6699679.926840421,74821973.42048487
