Unnamed: 0,metis_time (ms),mt_time (ms),parmetis_time (ms),ptscotch_time (ms),mt_KaHip_time (ms),Kaminpar_time (ms),jet_time (ms),Hunyuan_time (ms)
Geomean,697755.633135777,2977845.174808207,804530.1728162755,257829.83944207407,3534150.0588760166,7279090.979789416,70599307.88251549,104185468.96890582
Geomean,3696504.701289916,20765891.14094002,62428313.20132752,6099173.357010638,9656364.084481446,22959485.950304046,269965263.3290906,211298134.1109135
Geomean,558548.4790049123,4350845.129521794,10763763.57644262,1322795.7364330182,4500447.2927187625,9915164.595033413,154971328.91033614,122920888.17275208
Geomean,10836737.674196435,53833082.69307523,149402625.22511178,5025217.014923482,45774622.90970688,41737519.96925771,484877363.1046273,552917865.814313
Geomean,6738112.911917494,46730221.71923583,70747988.51929739,5144607.476583014,45219651.75841884,51411445.46017056,490626348.9124519,331220039.66455734
Geomean,1454992.8430799746,12243212.879093396,25244263.857535787,4908409.3815057,5714210.681745953,12026421.53525858,202305977.98806763,40891655.62328697
Geomean,3650078.2905171034,13554804.886823503,8096334.790594586,2925260.4568686844,33827285.44229026,37067594.71425437,160239130.22179142,279596107.5661736
Geomean,1164327.8674415126,3822350.0963728433,2814366.6648846096,227100.23739258348,5855002.795132488,11394762.384317052,85332379.08603954,82103929.24800473
Geomean,4373123.98199387,17367636.04658463,2942591.5280175176,,28943906.496719647,46372475.62715463,95122403.64029858,321825747.54331887
