metis_time (ms),mt_time (ms),parmetis_time (ms),ptscotch_time (ms),mt_KaHip_time (ms),Kaminpar_time (ms),jet_time (ms),Hunyuan_time (ms)
4066211.665858782,22529797.672336616,36366739.884393066,5668288.529759559,9982144.160439176,22590470.377019748,162959165.9651622,112272067.81173322
1879967.2187243362,12000909.130624726,22758973.487986743,4720293.939242934,3873963.4322622498,11630008.890770534,152315392.29276407,106713079.79177997
1957979.1988190296,9620759.643916914,19809751.527494907,4376299.402490822,6574284.381780222,10599260.443152925,156267145.07577786,95017140.9964181
1665017.4933221599,9601382.965871338,21039165.45334216,3363840.7671079813,6900752.370967076,10718199.258260284,150986364.28401804,93259149.84745365
7877321.743642968,38380781.28950696,266308754.3859649,9083896.005194355,7341101.339375312,35097338.7283237,246642278.00796166,215910660.6926961
4058345.508788905,24024630.548926014,33984875.75962187,5766682.057745188,10905545.552442675,26644574.377977766,231675953.97008055,131396948.17908889
7683169.147005444,37820960.690887436,273712900.86206895,9392627.31907756,22979193.610838704,47853348.15373022,352413524.6129086,294574351.7186993
5695016.32582918,39699670.56004792,269973930.7535642,9881414.557056386,23422938.213097405,57809507.19581334,478235081.8962407,379820057.30659026
