Graph Name,metis_Edgecut,mt_Edgecut,parmetis_Edgecut,ptscotch_Edgecut,mt_KaHip_Edgecut,Kaminpar_Edgecut,jet_Edgecut
cage15,1.138176118763316,1.1481074676967506,1.1410331205774813,1.1000074047563217,1.095592599282636,1.1577796501589217,0.967737701092426
kmer_A2a,0.963369638326582,1.0452796142813143,1.0715685082956863,1.0562608849376631,1.2062213159017805,1.1127016605183888,0.9528168595858579
kmer_P1a,0.9452906638189518,1.0163725834824664,1.0412212827589726,1.032504091241639,1.1066175476467315,1.0567483874014512,0.9416269221790047
kmer_U1a,0.9596627686858817,1.0219452247191012,1.0436977131167562,1.0095662096971176,1.075920936126038,1.035108542989741,0.9610138312164143
kmer_V1r,0.0,1.023694856404434,1.0382570420849446,0.0,1.19757068989769,1.1194603876695257,0.0
kmer_V2a,1.0186364970167259,1.1424929086107398,1.0904241791920706,1.0688826578852988,1.0010074663362785,0.9746633627856933,0.949030028365557
Geomean,1.002631013756912,1.064845507048971,1.0704245309315983,1.0529910621688658,1.1115578732225053,1.074329705997654,0.9544014942971589
